Job,Release,Identifier,Job Name,Description,Stage,Stage Group,DB Job Comp,DB Invoiced,CSV Job Comp,CSV Invoiced
410,793,410-793,Lennar - Columnbine Square,Mockup Balcony and juliet,Shipping completed,COMPLETE,O,,X,X
410,822,410-822,Lennar - Columnbine Square,Bld 4 Retail Area Embeds,Shipping completed,COMPLETE,,,X,X
410,824,410-824,Lennar - Columnbine Square,Bld 6 Retail Area Embeds,Shipping completed,COMPLETE,,,X,X
410,878,410-878,Lennar - Columnbine Square,Bldg 2 Structural Steel Columns and Beams pt1,Shipping completed,COMPLETE,,,X,X
410,890,410-890,Lennar - Columnbine Square,Trash Bollard Add,Shipping completed,COMPLETE,,,X,X
410,V181,410-V181,Lennar - Columnbine Square,EP4 Embed ,Shipping completed,COMPLETE,X,,X,X
410,V845,410-V845,Lennar - Columnbine Square,EP1 Embeds ,Shipping completed,COMPLETE,,,X,X
420,142,420-142,Thompson Thrift - The Stacks at Wheat Ridge,Elevator Hoist Beams,Shipping completed,COMPLETE,,,X,X
420,326,420-326,Thompson Thrift - The Stacks at Wheat Ridge,Trash Enclosure Gates,Shipping completed,COMPLETE,,,X,X
420,491,420-491,Thompson Thrift - The Stacks at Wheat Ridge,Structural Steel,Shipping completed,COMPLETE,,M,X,X
440,105,440-105,Evergreen - Outlook Green Valley Ranch,Bld 2 Ultralox Remaing Install P1 of 2,Shipping completed,COMPLETE,,,X,X
440,114,440-114,Evergreen - Outlook Green Valley Ranch,Bld 6 Ultralox Post install,Shipping completed,COMPLETE,,,X,X
440,158,440-158,Evergreen - Outlook Green Valley Ranch,Bld 7 Ultralox Post install,Shipping completed,COMPLETE,,,X,X
440,159,440-159,Evergreen - Outlook Green Valley Ranch,Bld 8 Ultralox Post install,Shipping completed,COMPLETE,,,X,X
440,160,440-160,Evergreen - Outlook Green Valley Ranch,Pool Fence,Shipping completed,COMPLETE,,,X,X
440,162,440-162,Evergreen - Outlook Green Valley Ranch,East Trash Enclosure - Buildings 2 & 5,Shipping completed,COMPLETE,,,X,X
440,176,440-176,Evergreen - Outlook Green Valley Ranch,Bld 2&5 Stair Wings,Shipping completed,COMPLETE,,,X,X
440,177,440-177,Evergreen - Outlook Green Valley Ranch,West Trash Enclosure - Buildings 2 & 5.xls,Shipping completed,COMPLETE,,,X,X
440,209,440-209,Evergreen - Outlook Green Valley Ranch,Bld 9 Ultralox Post install,Shipping completed,COMPLETE,,,X,X
440,210,440-210,Evergreen - Outlook Green Valley Ranch,Bld 10 Ultralox Post install,Shipping completed,COMPLETE,,,X,X
440,211,440-211,Evergreen - Outlook Green Valley Ranch,Bld 11 Ultralox Post install,Shipping completed,COMPLETE,,,X,X
440,251,440-251,Evergreen - Outlook Green Valley Ranch,Pool Fence R3,Shipping completed,COMPLETE,,,X,X
440,284,440-284,Evergreen - Outlook Green Valley Ranch,Pool Fence Angle Fix,Shipping completed,COMPLETE,,,X,X
440,302,440-302,Evergreen - Outlook Green Valley Ranch,Pour Stop Angle Install Bld 2,Shipping completed,COMPLETE,,,X,X
440,303,440-303,Evergreen - Outlook Green Valley Ranch,Pour Stop Angle Install Bld 5,Shipping completed,COMPLETE,,,X,X
440,304,440-304,Evergreen - Outlook Green Valley Ranch,Pour Stop Angle Install Bld 6,Shipping completed,COMPLETE,,,X,X
